"URL","FILE"
"http://localhost","v2/W.java"
"http://www.slf4j.org/codes.html#null_mdca                                                   http://www.slf4j.org/codes.html#no_static_mdc_binder","X4/d.java"
"http://www.slf4j.org/codes.html#unsuccessfulinit                                                   http://www.slf4j.org/codes.html#staticloggerbinder                                                   http://www.slf4j.org/codes.html#loggernamemismatch                                                   http://www.slf4j.org/codes.html#multiple_bindings                                                   http://www.slf4j.org/codes.html#substitutelogger                                                   http://www.slf4j.org/codes.html#version_mismatch                                                   http://www.slf4j.org/codes.html#replay","X4/c.java"
"http://www.w3.org/xml/1998/namespace                                                   data::trampolinepage                                                   https://github.com/flutter/flutter/issues.                                                   http://www.unicode.org/copyright.html                                                   https://dartbug.com/52121.                                                   https://docs.flutter.dev/release/breaking-changes/android-surface-plugins                                                   data:application/dart                                                   https://www.w3.org/style/css/test/fonts/ahem/).                                                   data:application/dart;                                                   http://www.w3.org/2000/xmlns/                                                   file:///","file8/lib/arm64-v8a/libflutter.so"
"http://www.w3.org/xml/1998/namespace                                                   data::trampolinepage                                                   https://github.com/flutter/flutter/issues.                                                   http://www.unicode.org/copyright.html                                                   https://dartbug.com/52121.                                                   https://docs.flutter.dev/release/breaking-changes/android-surface-plugins                                                   data:application/dart                                                   https://www.w3.org/style/css/test/fonts/ahem/).                                                   data:application/dart;                                                   http://www.w3.org/2000/xmlns/                                                   file:///","apktool_out/unknown/file8/lib/arm64-v8a/libflutter.so"
"http://xmlpull.org/v1/doc/features.html#report-namespace-prefixes                                                   http://xmlpull.org/v1/doc/features.html#process-docdecl                                                   http://xmlpull.org/v1/doc/features.html#validation                                                   http://xmlpull.org/v1/doc/features.html#process-namespaces","org/xmlpull/v1/XmlPullParser.java"
"https://developer.android.com/guide/topics/permissions/overview","io/flutter/plugin/platform/C1295g.java"
"https://developer.android.com/reference/com/google/android/play/core/review/model/reviewerrorcode.html#","L0/a.java"
"https://docs.flutter.dev/deployment/android#what-are-the-supported-target-architectures","w1/d.java"
"https://github.com/baseflow/flutter-permission-handler/issues","i0/C1268j.java"
"https://ktor.io/docs/faq.html#no-transformation-found-exception","h2/d.java"
"https://ktor.io/docs/http-client-engines.html","g2/n.java"
"https://play.google.com/store/apps/details?id=","q1/d.java"
"https://svcs.paypal.com/accesscontrol/logriskmetadata","b1/f.java"
"https://www.paypalobjects.com/webstatic/risk/dyson_config_android_v3.json                                                   https://b.stats.paypal.com/counter.cgi?p=","b1/c.java"
