"URL","FILE"
"http://www.topografix.com/gpx/1/1/gpx.xsd                                                   http://www.topografix.com/gpx/1/1                                                   http://www.w3.org/2001/xmlschema-instance","com/location/test/utils/x.java"
"http://xmlpull.org/v1/doc/features.html#process-namespaces                                                   http://www.opengis.net/kml/2.2","s/a.java"
"http://xmlpull.org/v1/doc/features.html#process-namespaces                                                   http://www.topografix.com/gpx/1/1                                                   http://www.topografix.com/gpx/1/1/gpx.xsd                                                   http://www.w3.org/2001/xmlschema-instance","r/a.java"
"https://api.livelocation.app/tracks/","defpackage/g.java"
"https://api.livelocation.app/tracks/","defpackage/a.java"
"https://api.livelocation.app/tracks/","defpackage/c.java"
"https://api.livelocation.app/tracks/","defpackage/e.java"
"https://github.com/firebase/firebaseui-android/releases/tag/6.2.0                                                   https://github.com/firebase/firebaseui-android/blob/master/auth/readme.md#facebook","com/firebase/ui/auth/AuthUI.java"
"https://github.com/reactivex/rxjava/wiki/what's-different-in-2.0#error-handling","a/a.java"
"https://osm.org/copyright","com/location/test/ui/autocomplete/ActivityAutocomplete.java"
"https://phone.firebase                                                   https://accounts.google.com                                                   https://twitter.com                                                   https://www.facebook.com                                                   https://github.com","com/firebase/ui/auth/util/data/ProviderUtils.java"
"https://places.app","com/location/test/models/Constants.java"
"https://places.app","com/location/test/location/tracks/SavedTracksActivity.java"
"https://places.app                                                   https://maps.google.com/maps?q=","com/location/test/utils/n0.java"
"https://places.app/live/?hash=","defpackage/b.java"
"https://www.google.com/maps/dir/?api=1&destination=                                                   https://waze.com/ul?ll=","com/location/test/widget/PinnedItemsWidgetProvider.java"
"https://www.google.com/maps/dir/?api=1&destination=                                                   https://waze.com/ul?ll=","com/location/test/newui/o.java"
"https://www.google.com/maps/search/?api=1&query=                                                   https://maps.google.com/maps?q=","com/location/test/models/LocationObject.java"
"https://www.iubenda.com/privacy-policy/101178                                                   https://places.app","com/location/test/ui/MapsMainActivity.java"
