"URL","FILE"
"data:type:                                                   data:options:format:error:                                                   data:options:error:                                                   http://ocsp.apple.com/ocsp03-aipca040                                                   data:options:documentattributes:error:                                                   http://www.w3.org/2005/atom                                                   https://sandbox.itunes.apple.com/verifyreceipt                                                   http://www.apple.com/dtds/propertylist-1.0.dtd                                                   http://www.opengis.net/kml/2.2                                                   http://crl.apple.com/root.crl0                                                   data:rssi:                                                   data:encoding:                                                   https://www.apple.com/appleca/0                                                   http://ocsp.apple.com/ocsp03-applerootca0.                                                   http://www.google.com/kml/ext/2.2                                                   data:image/zzz;base64,xxx                                                   data:mimetype:filename:                                                   https://vpic.nhtsa.dot.gov/api/vehicles/decodevinvalues/xxxxxxxxxxxxxxxxx?format=csv","EOBD-Facile.app/EOBD-Facile"
"data:type:                                                   data:options:format:error:                                                   data:options:error:                                                   http://ocsp.apple.com/ocsp03-aipca040                                                   http://www.w3.org/2005/atom                                                   data:options:documentattributes:error:                                                   https://sandbox.itunes.apple.com/verifyreceipt                                                   http://crl.apple.com/root.crl0                                                   http://www.apple.com/dtds/propertylist-1.0.dtd                                                   data:rssi:                                                   data:encoding:                                                   https://www.apple.com/appleca/0                                                   http://ocsp.apple.com/ocsp03-applerootca0.                                                   http://www.google.com/kml/ext/2.2                                                   https://vpic.nhtsa.dot.gov/api/vehicles/decodevinvalues/xxxxxxxxxxxxxxxxx?format=csv                                                   data:image/zzz;base64,xxx                                                   data:mimetype:filename:                                                   http://www.opengis.net/kml/2.2","IPA Strings Dump"
"http://purl.org/dc/elements/1.1/                                                   http://ns.adobe.com/xap/1.0/stype/resourceref#                                                   http://www.w3.org/1999/02/22-rdf-syntax-ns#                                                   http://ns.adobe.com/photoshop/1.0/                                                   http://iptc.org/std/iptc4xmpcore/1.0/xmlns/                                                   http://ns.adobe.com/xap/1.0/rights/                                                   http://ns.adobe.com/xap/1.0/mm/                                                   http://ns.adobe.com/xap/1.0/                                                   http://www.studiofunimages.fr/","EOBD-Facile.app/interface_elm327bt"
"http://purl.org/dc/elements/1.1/                                                   http://ns.adobe.com/xap/1.0/stype/resourceref#                                                   http://www.w3.org/1999/02/22-rdf-syntax-ns#                                                   http://ns.adobe.com/photoshop/1.0/                                                   http://iptc.org/std/iptc4xmpcore/1.0/xmlns/                                                   http://ns.adobe.com/xap/1.0/rights/                                                   http://ns.adobe.com/xap/1.0/mm/                                                   http://ns.adobe.com/xap/1.0/                                                   http://www.studiofunimages.fr/","EOBD-Facile.app/interface_elm327wifi"
"http://www.apple.com/dtds/propertylist-1.0.dtd","EOBD-Facile.app/Info.plist"
"http://www.apple.com/dtds/propertylist-1.0.dtd","EOBD-Facile.app/CommonStoryboard.storyboardc/Info.plist"
"http://www.apple.com/dtds/propertylist-1.0.dtd","EOBD-Facile.app/LaunchScreen.storyboardc/Info.plist"
"http://www.apple.com/dtds/propertylist-1.0.dtd","EOBD-Facile.app/TableViewStoryboard.storyboardc/Info.plist"
"http://www.apple.com/dtds/propertylist-1.0.dtd","EOBD-Facile.app/Base.lproj/MainStoryboard_iPad.storyboardc/Info.plist"
"http://www.apple.com/dtds/propertylist-1.0.dtd","EOBD-Facile.app/Base.lproj/MainStoryboard_iPhone.storyboardc/Info.plist"
